n-gram,size
mahato,1
mahuhu,1
mahuri,1
maia te hira,3
maihi kawiti,2
maihi nuku,2
maimuri,1
mairoa,1
maka to make,3
makara-ohariu,1
makaroa,1
makati,1
makene,1
makuhari,1
mamea,1
mamie,1
mana kapiti,2
mana motuhake i make,4
mana motuhake o aotearoa,4
mana otai,2
manaaki whenua,2
manaakitia mai aotearoa,3
manahi,1
manahi ripia,2
manahuna,1
manako tonga,2
manama,1
manawa ruki,2
manawaroa,1
manawatu where he,3
manawatu-rangitikei-horowhenua,1
manawau,1
manawhenua manamoana,2
manawhenua manumoana,2
manera kakapotahi,2
mangahewa,1
mangaka,1
mangakino to ngati kahungunu ki wairarapa,6
mangakuri,1
mangapurupuru,1
mangaroa to kaitoke,3
mangatangi,1
mangatepopo,1
mangaweka,1
mangawhau,1
mange,1
mangeao,1
mangiore,1
mangonui,1
maniatutu,1
manika,1
manu toko,2
manukau pukekohe ohope,3
manuwatu-wanganui,1
maori hikoi,2
maori homie,2
maori hui,2
maori kapiti,2
maori komiti,2
maori manaakitanga,2
maori miki kiore,3
maori tohunga,2
maoria,1
marae ataea,2
marae ngapuhi kaumatua kingi taurua,5
maraea temoana wharemako,3
maraeroa,1
maraeroa marae,2
maramara,1
maranui,1
marauria,1
mareroa,1
mareroa huata,2
mariama,1
mariano,1
marieke marieke,2
marieta,1
mariu,1
maru tuaputa,2
marua,1
marurai,1
mataatua marae,2
mataira,1
matakauri,1
matapouri,1
matarua,1
mataupu,1
mataura marae,2
mataura otautau,2
mataura parawa,2
mataura tuturau,2
matautia,1
matauwhi,1
matawai,1
matea,1
matene,1
matenga,1
matete,1
mati,1
matia,1
matiaha tane puki,3
matiatia,1
matiu,1
matiu rata,2
matoe,1
matoura ata whaka rongona,4
matua kiriahi,2
maukatere waipara,2
maungakatote,1
maungaku,1
maungatapu,1
maungauraki,1
maungawera,1
maungawhau,1
mauritangi,1
mauro,1
me aroha noa,3
meat-pie,1
mei ngaronoa rawiri waimamaku,4
menapi,1
mene mene,2
meninga,1
meramea tanirau,2
merauke,1
mere arihi te huinga,4
mereana,1
mereana peka manukau,3
merengue,1
mererae,1
mererueha,1
meriana,1
merimeri,1
meteorite,1
metohia,1
metua marama,2
mieko,1
mihaere,1
mihaere petera,2
mika taine,2
mikita,1
miko,1
mine to wanganui,3
mini-mania,1
mino,1
minoi,1
minora kea,2
minutia,1
minutiae,1
miri,1
miriama kaiaha tahi te kuiti,5
miriama kamo,2
miriana turia,2
mita hikairo mohi,3
moan-ee,1
moana hemi winitana,3
moari,1
moata,1
moate,1
moeono,1
moeraki waipiata maraeweka kokonga,4
moetahi,1
mohu,1
moki,1
moko whakairo,2
mokoreta,1
moma,1
momi,1
momona,1
mongia,1
moni,1
monika,1
morahu,1
morange,1
moreau,1
moreira,1
moro,1
motonui,1
motorama,1
motorau,1
mototapu,1
motu tua,2
motupohue,1
mouaputa,1
mouranga,1
muina,1
mumu,1
murati,1
muri,1
murihiku iwi whanau,3
muriwhenua,1
muru no-one,2
murumurunga te whaiti,3
mutu,1
nai,1
naikatini,1
nakamura,1
nanai,1
nani,1
naoto,1
nape nape,2
napier-taihape,1
nara,1
narina,1
natene,1
natori,1
natu,1
naumai taurua,2
nauta hataitai,2
neame,1
nee te huna,3
neera,1
neho,1
neihana,1
neki,1
neru,1
neto,1
nga aho whakaari,3
nga hau e wha taiapa,5
nga iwi morehu,3
nga kaiwhakamarama i nga ture,5
nga maata waka,3
nga paua,2
nga peheha a nga tipuna,5
nga taonga o tongariro,4
nga taonga tuku iho,4
nga tauira maori,3
nga tawa,2
ngaa waka,2
ngaarangione,1
ngaau,1
ngahooro,1
ngahuia,1
ngai tahu tainui,3
ngai tai ki tamaki,4
ngai tumapuhia a rangi hapu,5
ngakupa,1
ngamaru raerino,2
ngamatea,1
ngaomi,1
ngapara,1
ngapora,1
ngapuhi marae,2
ngapuhi taumatua kaumatua,3
ngariki,1
ngario,1
ngarita,1
ngaruma karaitiana,2
ngatamariki,1
ngataringa,1
ngati kahu,2
ngati koata iwi,3
ngati mahanga,2
ngati raukawa ngati toa,4
ngati toa runanga,3
ngati toa te ati awa,5
ngatiwai iwi,2
ngawaiata,1
ngawhare,1
ngawhitu,1
ngeru,1
ngoi ngoi-mata,2
nguamo,1
nguroa,1
niha,1
niki,1
nikita nahona,2
nimoi,1
nine-time,1
no-hope,1
noa noa,2
noi,1
noire,1
non-iwi,1
non-merino,1
non-pakeha,1
non-pipi,1
non-tote,1
nonu tamati,2
noone tauranga,2
noooo,1
norana,1
norena,1
norie,1
not-orewa,1
now-i,1
nuki,1
nukunuku,1
numero,1
o hare epuni,3
oakura,1
oamakau,1
oamaru to tauranga,3
oamaru where he,3
oata,1
oenone,1
ohaaki,1
ohai otautau te anau tuatapere,5
ohakune tui,2
ohakune turangi,2
ohakuri,1
ohau mangahao,2
ohaupo,1
ohinewai,1
ohura wanganui arohata rimutaka,4
oita,1
okaihau,1
okara,1
okarito,1
okaro,1
okautete,1
okiwi,1
okuru,1
omaka,1
omaka marae,2
omakere,1
omea,1
omori,1
on-time,1
on-to,1
one te papa,3
one to take,3
one to take a one,5
one to taranaki,3
one-make,1
one-one,1
onepu,1
oneroa,1
onetangi,1
onia,1
onomatopoeia,1
onuku marae,2
ooi,1
oparau,1
oparau waikato,2
open-mike,1
opeta,1
opeti,1
oporo,1
opunohu,1
opunuku,1
ora toa maori,3
orari te ngawai,3
oratorio,1
orere,1
oreti aparima,2
orikaka,1
orongorongo,1
otahu,1
otahuna,1
otaihanga paekakariki,2
otaki hui,2
otaki to waiouru,3
otaki-maori,1
otara marae,2
otari,1
otautahi maori,2
otautahi tatoo,2
otautau te anau,3
otautau wotautau,2
ote,1
otekaieke,1
oterei,1
otira where he,3
otuataua,1
otukaikino,1
oui,1
owanga,1
paenga tawhiti he,3
paepae tapu,2
paeroa te kuiti wainuiomata,4
pahia,1
paiere,1
paikea,1
paitai,1
paiti to make,3
pakaitore kaumatua,2
pakaraka,1
pakeha maori,2
paki ratana moana,3
pakowhai,1
paku,1
paku tane,2
pakura,1
pakuratahi,1
pamariki,1
pan-maori,1
pana,1
panamera,1
panapa,1
pangaimotu,1
pangari,1
paora apera,2
papa pekepo papa pekepo,4
papakura where he,3
papatowai puaho,2
papau,1
papuni,1
parai,1
parakura horomia,2
paramoana,1
paraparaumu raumati,2
paraparaumu waikanae,2
paraparaumu-raumati,1
parawa,1
parekohai hori,2
parekowhai,1
parekura horomia he,3
paremoremo to rangipo,3
paretai,1
pari rotorua,2
parihaka taranaki,2
paringatai,1
parirua,1
pati mua au,3
patikitiki,1
patina,1
paua toheroa,2
pauanui,1
paumau,1
paurini,1
peake,1
peata,1
pehi kupa,2
peipi,1
peita,1
pekerakitahi,1
penetito,1
penie,1
pepene,1
pera turei,2
pere,1
perere,1
pero tamarua,2
peta awatere,2
peta tamepo,2
peta-marie,1
petipa,1
petone wainuiomata,2
piangere,1
piero,1
pietie,1
pihanga,1
pihima,1
pikau,1
pikia tai raumati kapa moeke,5
pina,1
pingue,1
pini,1
piopio,1
pipinui,1
pipitea,1
pipitea wanganui,2
pirae,1
pirongia mamaku,2
piu-piu,1
piutau,1
pohangina,1
pohoiwi,1
poi poi,2
poihakena,1
pokarekare,1
pokiha,1
pongaroa,1
poote,1
popotunoa,1
pore,1
porihaka,1
porirua kapiti,2
porirua motueka,2
porirua to raumati,3
porirua waitangi,2
porirua wanganui,2
poroporoaki maori,2
potae,1
poti,1
potito,1
potu,1
pou rua,2
pou whitu,2
pouerua,1
pounawea,1
poupou,1
poupouare,1
powhiri a maori,3
puarewa pakau,2
puhi puhi,2
puhoi,1
pui,1
puka,1
pukawa,1
pukehurangi,1
pukepoto,1
puketahi,1
puketeraki,1
puketiri,1
puna tumahai,2
purakauiti,1
purakaunui,1
purerura,1
putangirua,1
putaruru kaitaia paeroa taihape opunake,5
putaturu paeroa taihape opunake waipapa,5
puto,1
r-range,1
raemaki,1
raharuhi rukupo one,3
rahimi,1
rahui katene maori,3
rahunga,1
raiha mahuta,2
raikaia,1
rainui aroita,2
rakai tawhiwhirangi,2
rakauhauka,1
rakaumanga kura kaupapa,3
rakena,1
rakiihia,1
rakino,1
rakiura runanga,2
rakiura runanga kaiwhakahaere,3
rakohema himiona,2
ramani,1
rameka,1
rana waitai te puku,4
ranapia,1
rane,1
ranee,1
rangana,1
rangi heremaia,2
rangiauia,1
rangihuna,1
rangiora kaiapoi,2
rangiora timaru,2
rangiora-kaiapoi,1
rangiroa,1
rangitea,1
rangitikei taiwhenua awhina whanau,4
rangitoheriri,1
rangiwahia,1
rangiwai,1
rango,1
rani,1
rani rangimoekau,2
raniera,1
rapaki kapahaka,2
rapana taneatua,2
rapatiotio,1
rapere,1
rationing-era,1
raue,1
rauhihi,1
raumati to waikanae,3
raumoko,1
raunatiri,1
raupo,1
raureka,1
raureti,1
rawiri taonui,2
re-hire,1
re-home,1
re-name,1
re-nee karena,2
ree,1
rehire,1
reika nomura,2
reine,1
reka to make,3
remo,1
renae toru,2
repua te ara mou,4
reremoana,1
reroute,1
retake,1
retiro,1
reto,1
rewa kahia,2
reweti nepia,2
rewi maniapoto te kooti,4
rewi matiu,2
rewi taiki karetai,3
rewire,1
rewiri haretuku,2
rie,1
riki anaru,2
rima matea,2
rimanui,1
rime,1
rimoni,1
rimutaka arohata,2
ring-tone,1
ringo,1
rino tirakatene,2
rino tirikatene,2
ripa,1
ripia piri weepu,3
ripia taranaki,2
riria hotere,2
riripeti hera,2
riwai,1
roa,1
rohe moana,2
roimata kirikiri,2
roimata pounamu,2
roini,1
romaine,1
romanee,1
romero,1
romi ropati pita,3
rongo wetere,2
rongokea,1
rongomaiwahine rutene,2
rongongui,1
rooke,1
ropata paora,2
ropiana taita,2
ropiha nepia,2
ropina,1
rota,1
rotenone,1
rotokawa,1
rotomahana,1
rotorua are maori,3
rotorua pukekohe,2
rotorua to oamaru,3
rotorua where he,3
rotorua-whakatane,1
rotowaro,1
rotui,1
rotuma,1
rou,1
rua kenana,2
rua tipoki,2
ruano,1
ruapehu rangitikei,2
ruapekapeka,1
ruapuke,1
ruia aperahama,2
ruma karaitiana,2
ruma rumaki,2
runanga o ngati porou,4
rune,1
rupapera,1
rupe,1
rupeni,1
ruri,1
rutene,1
taha maori,2
taheke marae,2
taheri,1
tahiti-moorea,1
tahorakuri,1
taiarahia,1
taiaroa te atatu,3
taiaroa whanganui maori,3
taina tamou,2
tainaka,1
taino,1
tainui ngati mahuta,3
tairangi,1
tairei,1
tairone,1
taitapu,1
taite,1
taito,1
taka pukeroa,2
takahue kaumatua,2
takamori,1
takao,1
takapu,1
takapuwahia waitangirua,2
takato,1
take ngai tahu,3
take take take,3
take to tangata whenua,4
take-me-home,1
taki taituha hua,3
takoha,1
taku wahine purotu taku tane purotu,6
takuma,1
tama akena,2
tama watene,2
tama wiremu,2
tamahere,1
tamaki-makaurau,1
tamarangi,1
tamata,1
tamati kawai,2
tamati waka nene,3
tame iti hone harawira,4
tamehana,1
tamepo,1
tami hana,2
tamie,1
tamihana,1
tamihana wiremu,2
tamihere hauraki,2
tamihere to make,3
tamihina,1
tamiti otaki,2
tamoa,1
tamou,1
tamou tiana aiareti,3
tamu,1
tane nui a rangi,4
tane pikia komihana,3
taneatua,1
tanenuiarangi manawatu,2
tanera,1
tangata tiaki-kaitiaki,2
tanguru-tutaki,1
tania neho maori,3
tanoa,1
tanu,1
tapani,1
tapawera,1
tapu te ranga marae,4
tapuae o uenuku,3
tapuauruwai tuhakaraina,2
tarahi,1
tarakina,1
tarakinikini,1
taranaki kupe,2
taranaki manawatu,2
taranaki whanui,2
taranaki where he,3
taranaki-waikato,1
tararu,1
tararua wairarapa manawatu,3
tarawa,1
tariana turia to make,4
taringatura,1
taruia,1
tataraakina,1
tatupu,1
tau henare rana waitai,4
taua o te puka,4
tauhiti,1
taukamo,1
taunahaurangi marae,2
taupo whanganui,2
taupo-kaingaroa-mangakino-pouakani,1
tauputoputo,1
tauranga rotorua taupo,3
tauranga tauranga,2
taurapa,1
tauraroa,1
tauriko,1
taurima,1
taurine,1
tauroa,1
tautarangi,1
taute,1
tauti,1
tautuku to owaka,3
tautuku wainuiomata,2
tauwharaparae,1
tawa to paraparaumu,3
tawhaio,1
tawhaki,1
tawharanui,1
tawhiti,1
tawhitinui,1
te ahi kaaroa maori,4
te ahikaroa,2
te akatoki tumuaki hiria,4
te ama,2
te ana-au,2
te anau make,3
te anau te anau-otautau-tuatapere,4
te aniwaniwa akuhata,3
te aniwi te maiharoa,4
te ao marama maaka kingi porima,6
te ara o kiwa,4
te arikinui te atairangikaahu,4
te aro i,3
te aro wainuiomata,3
te aroha where he,4
te arohatai matiaha,3
te atarua,2
te atiawa ngati tama ngati rarua,6
te aute te aute,4
te awaiti,2
te awamutu he,3
te awhina arahanga,3
te hau tonga whakataetae ngai tahu,6
te hauroto kapa haka,4
te heuheu tariana turia,4
te hikoi,2
te hopai,2
te horo i,3
te hukatai,2
te kani atakirau,3
te kao,2
te kemara,2
te kinga,2
te kira naenae,3
te kiri-o-hinekai,2
te kohuna,2
te kopahou,2
te kotahitanga marae,3
te kowhai where,3
te kuiti-ite,2
te kura kaupapa,3
te maioha,2
te makao,2
te mana o te moana,5
te maramatanga wananga whakapakari,4
te maru,2
te mauri o rangitaane o manawatu,6
te moana tamariki,3
te ngutu,2
te ohu kai moana,4
te oma,2
te onehou,2
te paatu hapu,3
te pairi,2
te paki,2
te papa maori,3
te papa where,3
te papapa,2
te peka,2
te pene,2
te pihinga ake,3
te pirita,2
te pohe te aro,4
te pohue,2
te pokai matauranga o te ao rua,7
te pou o mangatawhiri,4
te pouri,2
te puka o te waka,5
te puka-hereka,2
te puna o te aomaramo,5
te puna wai,3
te puna wanaka maori,4
te puna whaiora,3
te puru,2
te rakau,2
te raki,2
te raki hawea,3
te rakiwhanoa,2
te rangakura maori,3
te rangi he,3
te rapa whangarei,3
te rau o te rangi,5
te reo whakapuaki irirangi,4
te riu toa,3
te rongopai,2
te rongopai morehu,3
te rore,2
te runanga a iwi o ngapuhi,6
te runanga o nga puhi,5
te runanganui o taranaki whanui,5
te runanganui o taranaki whanui ki te upoko o te ika,11
te tai hauhauru,3
te tai tamariki,3
te tai tokerau maori,4
te tai tonga a maori,5
te tai tonga rahui katene,5
te take tairakena,3
te taki,2
te tau ihu iwi,4
te tii marae a ngapuhi marae,6
te tii o waitangi,4
te tii o waitangi marae,5
te tira puoro o aotearoa,5
te tua,2
te uira kapara,3
te uri o hau,4
te waewae,2
te wai pounamu,3
te waiau mahika kai,4
te waihora,2
te waihoroi,2
te waipounamu kapa haka,4
te waka huia,3
te waka o te raukura,5
te wakatoi,2
te wananga,2
te wananga o raukawa,4
te wani,2
te whaariki,2
te whaata,2
te whanau korowai,3
te whanau rumaki,3
te whare,2
te whare o anupihi,4
te wharekura o arowhenua,4
te wharekura o rakaumanga,4
te whariki,2
te wheke he,3
te whenua awhi,3
tea-time,1
team-mate taine,2
teangauki kenimarawa toma,3
tee-hee,1
teina pehi wharawhara,3
teine,1
teio,1
teio teio,2
tekare papakura,2
tekaumarua wharepouri,2
temepara wiki unaku,3
temuka rangiora,2
tena kowhiria,2
teng-hui,1
tengawai,1
teone ropata,2
teonira,1
tepaki,1
teranga,1
teranganokai karamaena,2
terapa,1
tere ngu,2
tereora,1
teria,1
terina,1
teringa-kohu,1
teruakirikiri riwai,2
teruo,1
terure,1
tetaki tairakena,2
tete-a-tete,1
teuku,1
tiaamii,1
tiaiti,1
tiare,1
tii,1
tiitii uaita,2
tikitapu,1
tikitiki a-taranga,2
tiko,1
timaima,1
timara,1
timaru oamaru,2
timea,1
timi maipi,2
timihou titahi,2
timote,1
tineke,1
tinika,1
tino pereira,2
tino reka,2
tinoi,1
tinui,1
tio,1
tioripatea,1
tip-toe,1
tipapa,1
tipi,1
tipi-rangi waikato,2
tipu,1
tirangi,1
tireti,1
tiri mahana,2
tirikatene-o,1
tiritiri matangi,2
tirohanga,1
titokawaru,1
tiueti,1
toetuu,1
toeumu,1
tohoku,1
tohu,1
toi maunga toi moana,4
toi poneke,2
toi rakiura,2
toi te papa,3
toi te taia,3
toi whakataa maori,3
tokanui otara,2
tokarahi,1
tokatu,1
tokitoki,1
tokomairiro,1
tokonui,1
tokoroa taupo,2
tomatea,1
tomioka,1
tomoki,1
tomoko,1
tongatapu,1
tongotea-rapatini,1
tongotongo,1
toni-maree,1
tonia,1
tonie,1
tonihi,1
tonu u taine,3
top-name,1
top-range,1
tora,1
torahime,1
tororaro,1
toru,1
toru runaki,2
totaranui to takaka,3
toumani,1
toutai,1
towie,1
tua huriri,2
tua tua,2
tua-mata-uenga,1
tuahiwi,1
tuamarina,1
tuari potiki,2
tuarike,1
tuataina,1
tuatini,1
tuheke,1
tuhikarama,1
tuhikaramea,1
tuhoe tohunga hohepa kereopa,4
tui hui,2
tui kaka,2
tui rapana,2
tui waireti,2
tuia,1
tukaki,1
tukapa,1
tukapua,1
tuke,1
tuki,1
tuki raimona,2
tuki tuki,2
tukutahi ropata,2
tumai karetai,2
tumai-totorewa,1
tumana,1
tumu te heuheu,3
tuna hoki,2
tuoro,1
tupuna puna,2
tupuoto,1
turakina,1
turakirae,1
turanga,1
turangawaewae marae ngaruawahia,3
turina,1
turiwhate,1
tutae ka wetoweto,3
tutaepatu,1
tute rangi,2
tutuwai,1
tuuta,1
tuwehi,1
uao,1
uea,1
uemura,1
ueta,1
umuroa,1
upoko,1
urarii,1
urawa,1
urenika,1
uriao,1
urupa,1
utani,1
ututonga,1
uwa,1
uwe,1
waahi,1
waahi tapu,2
waana,1
waananga,1
waanga,1
waenga,1
waharoa,1
waharoa waikato,2
waho,1
wahu kaa,2
wai taumaunu,2
waiake,1
waianawa,1
waiapu,1
waihapa,1
waihau,1
waihi marae,2
waihi opihi,2
waihirere,1
waihoka,1
waihopai runaka,2
waikanae moreu,2
waikaremoana,1
waikatere,1
waikato kawerau,2
waikato manawatu,2
waikato tauranga,2
waikato team-mate,2
waikerie,1
waikiekie,1
waikotikoti,1
waikouro wairio,2
waikukupa,1
waikumete,1
waimarama maori,2
waimaria,1
waimihi hotere,2
waimumu te tipua,3
waimumu waimatuku,2
wainuimomata,1
wainuiomata marae,2
wainuiomata wainuiomata,2
wainuioru,1
wainuomata,1
waioeka,1
waioeka marae,2
waiohika,1
waiohine,1
waiomu,1
waiouru to rangipo,3
waiouru wanganui,2
waipahi waitahuna,2
waipara hurunui,2
waipori,1
waipoua kauri,2
waira,1
wairapapa,1
wairarapa kapiti,2
wairewa,1
wairoa ohakune kawakawa,3
waitaanga,1
waitai-rapana,1
waitangarua,1
waitangi maori,2
waitangi marae maori,3
waitara taranaki,2
waitarere,1
waitaria,1
waitati,1
waitekauri,1
waitiri,1
waitutu rimu,2
waiwhakaiho,1
waiwhetu runanga,2
waka aniwaniwa,2
waka te rau kura,4
waka te raukawa,3
wakaia,1
wakapuaka,1
wakatipu taniwha,2
wanahi,1
wanaka hine,2
wanakore,1
wanganui a taranaki,3
wanganui hakihana,2
wanganui taumarunui,2
war-era,1
wara,1
warehou,1
warihi,1
watana,1
water-pipe,1
weeeee,1
weihai timaru,2
weina,1
weipa,1
weti,1
whaiapu manukau,2
whaikupu,1
whaipooti,1
whaiti,1
whakahaere,1
whakahuihui,1
whakaipo,1
whakamoe,1
whakanui,1
whakapapanui,1
whakarau,1
whakaraupo,1
whakaruru,1
whakatane to taupo,3
whakatohea,1
whanau hui,2
whangae,1
whangaehu,1
whanganui-a-tara maori,2
whangara mai tawhiti,3
whangarei taranaki,2
wharangi,1
whare mahana,2
wharenui matipo,2
wharepaepae,1
wharepuna,1
wharewaka o poneke,3
whata,1
whatamango,1
whatarangi rawiri,2
whatarangi winiata,2
whataroa to karamea,3
whawhai,1
wheeee,1
wheki,1
whenua tapu,2
where a mataura,3
where a rape,3
where i ate,3
where to take,3
whero,1
whi tapu,2
whio are one,3
whiritoa,1
whirokino,1
whiteware a rimu,3
whitirea,1
whoa whoa,2
wiha,1
wii,1
wiki te amo,3
wiki te whare,3
wikitana popata,2
winona,1
wira,1
wiremu kingi,2
wiremu ropata,2
wiriana tamihana te kahi,4
wirihana rongotai,2
wiringi,1
wiripene,1
witeri ahomiro neketai,3
witoko,1
wiwarena,1
wongi,1
woo-hoo,1
wow-wee,1